type,lang,lines,pos,snippet_idx
code,javascript,"[""// /package.json"", ""{"", ""    \""scripts\"": {"", ""        \""start\"": \""nodemon ./src/index.ts\"""", ""    },"", ""    \""nodemonConfig\"": {"", ""        \""exec\"": \""tsc && ts-node .\"","", ""        \""ext\"": \""ts\"""", ""    }"", ""}"", ""// /src/tsconfig.json"", ""{"", ""    ..."", ""    \""include\"": [\""./src/frontend/foobar.ts\""]"", ""}"", ""// /src/frontend/tsconfig.json"", ""{"", ""    \""compilerOptions\"": {"", ""        \""module\"": \""ES6\"","", ""        \""target\"": \""ES2017\"","", ""        \""outFile\"": \""./foobar.js\"","", ""        \""rootDir\"": \"".\"","", ""        \""sourceMap\"": true,"", ""        \""noEmit\"": false"", ""    }"", ""}""]",2,124
code,typescript,"[""function identify<Type>(arg: unknown, field: string): arg is Type {"", ""    return (arg as any)[field] !== undefined;"", ""}"", ""identify<Piece>(square, \""piece_type\"")""]",1,125
code,typescript,"[""class Foo{"", ""    public foobar = function(this: Bar){"", ""        this.print_bar() // ts understands `this` is typeof Bar"", ""    }.bind(new Bar())"", ""}"", ""const foo = new Foo()"", ""foo.foobar()"", ""// -> \""bar\""""]",1,126
code,typescript,"[""// launch.json"", ""{"", ""    \""type\"": \""node\"","", ""    \""request\"": \""launch\"","", ""    \""name\"": \""ts debug\"","", ""    \""skipFiles\"": [\""<node_internals>/**\""],"", ""    \""program\"": \""${workspaceFolder}/src/index.ts\"","", ""    \""runtimeArgs\"": [\""-r\"", \""ts-node/register\"", \""-r\"", \""tsconfig-paths/register\""],"", ""    \""console\"": \""internalConsole\"""", ""}"", ""// tsconfig.json"", ""{"", ""    \""sourceMap\"": true"", ""}""]",1,127
code,json,"[""// example file"", ""// .vscode/tasks.json"", ""{"", ""\t\""version\"": \""2.0.0\"","", ""\t\""inputs\"": ["", ""\t\t{"", ""\t\t\t\""id\"": \""imageName\"","", ""\t\t\t\""type\"": \""promptString\"","", ""\t\t\t\""description\"": \""Enter the image name\"","", ""\t\t\t\""default\"": \""my-container-image\"""", ""\t\t},"", ""\t],"", ""\t\""tasks\"": ["", ""\t\t{"", ""\t\t\t\""type\"": \""typescript\"","", ""\t\t\t\""tsconfig\"": \""portal/client/tsconfig.json\"","", ""\t\t\t\""problemMatcher\"": ["", ""\t\t\t\t\""$tsc\"""", ""\t\t\t],"", ""\t\t\t\""group\"": \""build\"","", ""\t\t\t\""label\"": \""tsc: build - portal/client/tsconfig.json\"""", ""\t\t},"", ""\t\t{"", ""\t\t\t\""label\"": \""Build Image\"","", ""\t\t\t\""type\"": \""shell\"","", ""\t\t\t\""command\"": \""podman\"","", ""\t\t\t\""args\"": ["", ""\t\t\t\t\""build\"","", ""\t\t\t\t\""-f\"","", ""\t\t\t\t\""${file}\"","", ""\t\t\t\t\""-t\"","", ""\t\t\t\t\""${input:imageName}:${input:imageTag}\"""", ""\t\t\t],"", ""\t\t\t\""group\"": {"", ""\t\t\t\t\""kind\"": \""build\"""", ""\t\t\t}"", ""\t\t}"", ""\t]"", ""}""]",1,128
code,vue,"[""<script setup>"", ""  const classes = ref({"", ""    fadeIn: false,"", ""    fadeOut: false,"", ""  });"", ""  const elem = ref(null);"", ""  const opacityValue = ref(0.0);"", ""  function enter() {"", ""    classes.value.animationPause = true;"", ""    classes.value.fadeOut = false"", ""    opacityValue.value = getCurrentOpacity();;"", ""    classes.value.fadeIn = false;"", ""    classes.value.fadeIn = true;"", ""    classes.value.animationPause = false;"", ""  }"", ""  function leave() {"", ""    classes.value.animationPause = true;"", ""    classes.value.fadeIn = false;"", ""    opacityValue.value = getCurrentOpacity();"", ""    classes.value.fadeOut = false;"", ""    classes.value.fadeOut = true;"", ""    classes.value.animationPause = false;"", ""  }"", ""  function getCurrentOpacity() {"", ""    let elem = elem.value as unknown as HTMLElement;"", ""    let elem_styles = window.getComputedStyle(elem);"", ""    return parseFloat(elem_styles.opacity)"", ""  }"", ""</script>"", ""<template>"", ""  <div"", ""    @mouseenter=\""e => enter()}\"""", ""    @mouseleave=\""e => leave()\"""", ""    :class=\""classes\"""", ""    :ref=\""elem\"""", ""  >"", ""  </div>"", ""</template>"", ""<style>"", ""div {"", ""  opacity: 0;"", ""}"", "".fadeIn {"", ""  animation: fade-in 0.5s;"", ""  animation-fill-mode: forwards;"", ""}"", "".fadeOut {"", ""  animation: fade-out 0.5s;"", ""  animation-fill-mode: forwards;"", ""}"", "".animationPause{"", ""  animation-play-state: paused;"", ""}"", ""@keyframes fade-in {"", ""  from {"", ""    opacity: v-bind(\""opacityValue\"")"", ""  }"", ""  to {"", ""    opacity:1;"", ""  }"", ""}"", ""@keyframes fade-out {"", ""  from {"", ""    opacity: v-bind(\""opacityValue\"");"", ""  }"", ""  to {"", ""    opacity: 0;"", ""  }"", ""}"", ""</style>""]",1,129
text,,"[""label a test, and run all tests with that label""]",1,130
text,,"[""set global python version""]",1,131
text,,"[""some libraries required""]",1,132
text,,"[""steps to install tunnels""]",1,133
text,,"[""using `filter` encapsulates a `position:fixed` object in a block, making its position **relative** to that invisible block, and **not relative to the window**""]",1,13
