type,lang,lines,pos,snippet_idx
code,javascript,"// /package.json
{
    ""scripts"": {
        ""start"": ""nodemon ./src/index.ts""
    },
    ""nodemonConfig"": {
        ""exec"": ""tsc && ts-node ."",
        ""ext"": ""ts""
    }
}
// /src/tsconfig.json
{
    ...
    ""include"": [""./src/frontend/foobar.ts""]
}
// /src/frontend/tsconfig.json
{
    ""compilerOptions"": {
        ""module"": ""ES6"",
        ""target"": ""ES2017"",
        ""outFile"": ""./foobar.js"",
        ""rootDir"": ""."",
        ""sourceMap"": true,
        ""noEmit"": false
    }
}",,131
code,typescript,"function identify<Type>(arg: unknown, field: string): arg is Type {
    return (arg as any)[field] !== undefined;
}
identify<Piece>(square, ""piece_type"")",,132
code,typescript,"class Foo{
    public foobar = function(this: Bar){
        this.print_bar() // ts understands `this` is typeof Bar
    }.bind(new Bar())
}
const foo = new Foo()
foo.foobar()
// -> ""bar""",,133
code,typescript,"// launch.json
{
    ""type"": ""node"",
    ""request"": ""launch"",
    ""name"": ""ts debug"",
    ""skipFiles"": [""<node_internals>/**""],
    ""program"": ""${workspaceFolder}/src/index.ts"",
    ""runtimeArgs"": [""-r"", ""ts-node/register"", ""-r"", ""tsconfig-paths/register""],
    ""console"": ""internalConsole""
}
// tsconfig.json
{
    ""sourceMap"": true
}",,134
code,json,"// example file
// .vscode/tasks.json
{
	""version"": ""2.0.0"",
	""inputs"": [
		{
			""id"": ""imageName"",
			""type"": ""promptString"",
			""description"": ""Enter the image name"",
			""default"": ""my-container-image""
		},
	],
	""tasks"": [
		{
			""type"": ""typescript"",
			""tsconfig"": ""portal/client/tsconfig.json"",
			""problemMatcher"": [
				""$tsc""
			],
			""group"": ""build"",
			""label"": ""tsc: build - portal/client/tsconfig.json""
		},
		{
			""label"": ""Build Image"",
			""type"": ""shell"",
			""command"": ""podman"",
			""args"": [
				""build"",
				""-f"",
				""${file}"",
				""-t"",
				""${input:imageName}:${input:imageTag}""
			],
			""group"": {
				""kind"": ""build""
			}
		}
	]
}",,135
code,vue,"<script setup>
  const classes = ref({
    fadeIn: false,
    fadeOut: false,
  });
  const elem = ref(null);
  const opacityValue = ref(0.0);
  function enter() {
    classes.value.animationPause = true;
    classes.value.fadeOut = false
    opacityValue.value = getCurrentOpacity();;
    classes.value.fadeIn = false;
    classes.value.fadeIn = true;
    classes.value.animationPause = false;
  }
  function leave() {
    classes.value.animationPause = true;
    classes.value.fadeIn = false;
    opacityValue.value = getCurrentOpacity();
    classes.value.fadeOut = false;
    classes.value.fadeOut = true;
    classes.value.animationPause = false;
  }
  function getCurrentOpacity() {
    let elem = elem.value as unknown as HTMLElement;
    let elem_styles = window.getComputedStyle(elem);
    return parseFloat(elem_styles.opacity)
  }
</script>
<template>
  <div
    @mouseenter=""e => enter()}""
    @mouseleave=""e => leave()""
    :class=""classes""
    :ref=""elem""
  >
  </div>
</template>
<style>
div {
  opacity: 0;
}
.fadeIn {
  animation: fade-in 0.5s;
  animation-fill-mode: forwards;
}
.fadeOut {
  animation: fade-out 0.5s;
  animation-fill-mode: forwards;
}
.animationPause{
  animation-play-state: paused;
}
@keyframes fade-in {
  from {
    opacity: v-bind(""opacityValue"")
  }
  to {
    opacity:1;
  }
}
@keyframes fade-out {
  from {
    opacity: v-bind(""opacityValue"");
  }
  to {
    opacity: 0;
  }
}
</style>",,136
text,,"label a test, and run all tests with that label",,137
code,python,"# test.py
@pytest.mark.solo
def test_solo(mocker):
    pass",,137
code,,"# pytest.ini
[pytest]
markers =
    solo: mark a test as a solo test",,137
code,bash,pytest -m solo,,137
text,,set global python version,,138
code,bash,"> pyenv versions
  system
* 3.11.9 (set by /root/.pyenv/version)
> pyenv global 3.11.9",,138
text,,script to install `pyenv` to install `python` to install `pipx` to install `poetry` ...,,138
code,bash,"apt-get install locales
localedef -i en_US -f UTF-8 en_US.UTF-8

apt install curl

curl https://pyenv.run | 

for file in .bash_profile .profile .bashrc; do
    echo 'export PYENV_ROOT=""$HOME/.pyenv""' >> ~/$file
    echo '[[ -d $PYENV_ROOT/bin ]] && export PATH=""$PYENV_ROOT/bin:$PATH""' >> ~/$file
    echo 'eval ""$(pyenv init -)""' >> ~/$file
done

echo 'eval ""$(pyenv virtualenv-init -)""' >> ~/.bashrc

apt-get install -y make build-essential libssl-dev zlib1g-dev libbz2-dev libreadline-dev libsqlite3-dev wget curl llvm libncurses5-dev libncursesw5-dev xz-utils tk-dev libffi-dev liblzma-dev python3-openssl git libgdbm-dev libnss3-dev
pyenv install 3.11

# restart shell
bash

pyenv global 3.11.9

python -m pip install --user pipx

python -m pipx ensurepath

python -m pipx completions

eval ""$(register-python-argcomplete pipx)""

# restart shell
bash

pipx install poetry",,138
text,,some libraries required,,139
code,bash,"sudo apt-get install -y make build-essential libssl-dev zlib1g-dev libbz2-dev libreadline-dev libsqlite3-dev wget curl llvm libncurses5-dev libncursesw5-dev xz-utils tk-dev libffi-dev liblzma-dev python3-openssl git libgdbm-dev libnss3-dev
pyenv install 3.11",,139
text,,steps to install tunnels,,140
code,,"wget -O vscode_cli.tar.gz 'https://code.visualstudio.com/sha/download?build=stable&os=cli-alpine-x64' && tar -xzf vscode_cli.tar.gz -C /opt

chmod +x /opt/code
cd opt
./code tunnel

# install Microsoft: Tunnels
# Remote-Tunnels: Connect to Tunnel",,140
text,,"using `filter` encapsulates a `position:fixed` object in a block, making its position **relative** to that invisible block, and **not relative to the window**",,141
